的	de_dí_dì
摘	zhāi
闷	mèn_mēn
脆	cuì
姚	yáo
雕	diāo
陵	líng
董	dǒng
诺	nuò
泵	bèng
赴	fù
剑	jiàn
腊	là_xī
窝	wō
卢	lú
锻	duàn
罐	guàn
览	lǎn
宴	yàn
昏	hūn
溪	xī
疯	fēng
逮	dài_dǎi
裕	yù
盈	yíng
勘	kān
缴	jiǎo_zhuó
穆	mù
幻	huàn
锥	zhuī
坑	kēng
宿	sù_xiǔ_xiù
泼	pō
湘	xiāng
垄	lǒng
饰	shì
驶	shǐ
煮	zhǔ
刮	guā
砍	kǎn
疏	shū
旱	hàn
慌	huāng
渗	shèn
戈	gē
汪	wāng
悟	wù
昂	áng
桶	tǒng
颇	pō
骑	qí
佳	jiā
霍	huò
旨	zhǐ
芯	xīn_xìn
畅	chàng
旬	xún
摊	tān
墙	qiáng
敲	qiāo
蔬	shū
痕	hén
惨	cǎn
钙	gài
尝	cháng
棱	léng_lēng_líng_chēng_lèng
辨	biàn
箭	jiàn
躺	tǎng
苍	cāng
莱	lái
债	zhài
吞	tūn
坝	bà
卿	qīng
挡	dǎng_dàng
柏	bǎi_bó_bò
萧	xiāo
颠	diān
霉	méi
谊	yì
妨	fáng
黏	nián
漠	mò
辆	liàng
郊	jiāo
俩	liǎng_liǎ
彭	péng_bāng
夕	xī_xí
凌	líng
宏	hóng
逻	luó
淮	huái
饥	jī
熊	xióng
绅	shēn
霞	xiá
冶	yě
垫	diàn
蓬	péng
冯	féng_píng
喂	wèi
瞧	qiáo
玄	xuán
岂	qǐ_kǎi
叠	dié
葡	pú
哀	āi
仙	xiān
吓	xià_hè_hà
棋	qí
滨	bīn
丘	qiū
佩	pèi
寺	sì
犹	yóu_yòu
禄	lù
驰	chí
莲	lián
匹	pǐ_pī
徙	xǐ
诬	wū
拾	shí_shè
枯	kū
浑	hún
颂	sòng
驳	bó
慰	wèi
诱	yòu
勿	wù
邰	tái
歇	xiē
阁	gé
嘉	jiā
沫	mò
拳	quán
饼	bǐng
戚	qī
皱	zhòu
掠	lüè
塘	táng
仇	chóu_qiú
锭	dìng
竭	jié
娃	wá
冤	yuān
凸	tū
拆	chāi_cā
曰	yuē
掀	xiān
朴	pǔ_pò_pō_piáo
摧	cuī
溜	liū_liù
卸	xiè
堵	dǔ
筛	shāi
疲	pí
栽	zāi
胎	tāi
腹	fù
驾	jià
纬	wěi
扯	chě
颁	bān
饿	è
悠	yōu
祸	huò
慧	huì
舰	jiàn
姿	zī
恋	liàn
遂	suì
卧	wò
怨	yuàn
醉	zuì
廉	lián
遣	qiǎn
狭	xiá
菲	fēi_fěi
犁	lí
侯	hóu_hòu
羽	yǔ
姻	yīn
抖	dǒu
契	qì_qiè_xiè
萄	táo
阐	chǎn
盲	máng
躲	duǒ
韦	wéi
谐	xié
兆	zhào
舌	shé
佐	zuǒ
屏	píng_bǐng_bīng
妄	wàng
肠	cháng
酵	jiào_xiào
墓	mù
恒	héng
缸	gāng
柄	bǐng
敦	dūn_duì
慎	shèn
堤	dī
逝	shì
贼	zéi
辖	xiá
魂	hún
押	yā
栏	lán
祟	suì
肖	xiāo_xiào
茅	máo
捷	jié
捞	lāo
艳	yàn
蜂	fēng
逢	féng
罩	zhào
档	dàng
兽	shòu
辱	rǔ
搅	jiǎo
臭	chòu_xiù
蔽	bì
铃	líng
乔	qiáo
雇	gù
挽	wǎn
芬	fēn
砌	qì_qiè
拌	bàn_pàn
翠	cuì
醇	chún
弥	mí_mǐ
嫂	sǎo
粹	cuì
披	pī
狼	láng
窄	zhǎi
柜	guì_jǔ
淋	lín_lìn
晴	qíng
拘	jū_gōu
寂	jì
滋	zī
鸦	yā
誓	shì
咸	xián
茫	máng
凑	còu
芝	zhī
餐	cān
账	zhàng
幽	yōu
殿	diàn
盒	hé
篡	cuàn
萌	méng
挣	zhèng_zhēng
畏	wèi
遥	yáo
颤	chàn_zhàn
酬	chóu
奸	jiān
厌	yàn
洒	sǎ_xǐ_cuǐ_sěn_xiǎn_xùn
垦	kěn_yín
赔	péi
挨	āi_ái
抄	chāo
缔	dì
峡	xiá
芦	lú_hù
倘	tǎng_cháng
坯	pī
履	lǚ
巾	jīn
宙	zhòu
劫	jié
酿	niàng
矣	yǐ
闯	chuǎng
晃	huǎng_huàng
帜	zhì
捐	juān
矮	ǎi
澳	ào
愁	chóu
窃	qiè
烘	hōng
昭	zhāo
奈	nài
滥	làn
戒	jiè
丑	chǒu
蔡	cài
遮	zhē
肺	fèi
喀	kā
膀	bǎng_páng_bàng_pāng
夸	kuā_kuà_kuǎ
馏	liù_liú
俱	jù
澄	chéng_dèng
窑	yáo
稼	jià
仆	pū_pú
壶	hú
蔑	miè
裤	kù
渣	zhā
姜	jiāng
媳	xí
爽	shuǎng
岌	jí
绵	mián
纶	lún_guān
饶	ráo
竖	shù
椅	yǐ_yī
捧	pěng
吕	lǚ
纽	niǔ
拚	pàn_pīn_fān
殷	yīn_yān_yǐn
鼠	shǔ
卑	bēi
涛	tāo
郁	yù
汁	zhī
闽	mǐn
焊	hàn
孝	xiào
颈	jǐng_gěng
茂	mào
舆	yú
唤	huàn
肌	jī
址	zhǐ
掏	tāo
伞	sǎn
鞭	biān
缚	fù
撑	chēng
杠	gàng_gāng
鼎	dǐng
谴	qiǎn
涤	dí
询	xún
哨	shào
帅	shuài
宅	zhái
堪	kān
韧	rèn
拦	lán
眠	mián
麟	lín
碑	bēi
缠	chán
巷	xiàng_hàng
趁	chèn
秧	yāng
猜	cāi
欠	qiàn
坛	tán
茎	jīng
晒	shài
榜	bǎng_bàng_pèng
炳	bǐng
挫	cuò
跌	diē_dié
糟	zāo
攀	pān
酯	zhǐ
慨	kǎi
携	xié
鄂	è
氛	fēn
霜	shuāng
棍	gùn_hùn
锤	chuí
沾	zhān
侍	shì
斑	bān
豫	yù
辊	gǔn
崩	bēng
萍	píng
儒	rú
蓉	róng
谬	miù
惟	wéi
浊	zhuó
吵	chǎo_chāo
揉	róu
蛮	mán
瞬	shùn
叉	chā_chá_chǎ
缆	lǎn
荐	jiàn
哎	āi
溉	gài
悦	yuè
朽	xiǔ
赠	zèng
郡	jùn
踪	zōng
泄	xiè_yì
疼	téng
剖	pōu
苹	píng_pēng
锌	xīn
耶	yé_yē
妃	fēi_pèi
迪	dí
孳	zī
睁	zhēng
亥	hài
弊	bì
匠	jiàng
桐	tóng
嫌	xián
岳	yuè
乾	qián_gān
酚	fēn
穴	xué_xuè
嫁	jià
烤	kǎo
玲	líng
捣	dǎo
甫	fǔ
邵	shào
潭	tán
慕	mù
炒	chǎo
浒	hǔ_xǔ
畴	chóu
匪	fěi
撕	sī
嚷	rǎng_rāng
溢	yì
顷	qǐng
聪	cōng
翁	wēng
沃	wò
谦	qiān
晰	xī
甸	diàn_tián_shèng
歧	qí
诊	zhěn
祁	qí
咨	zī
潘	pān
谭	tán
礁	jiāo
弓	gōng
屠	tú
酶	méi
枢	shū
吟	yín
喉	hóu
浴	yù
颖	yǐng
症	zhèng_zhēng
衬	chèn
溃	kuì_huì
崖	yá_yái
勉	miǎn
卓	zhuó
琼	qióng
迭	dié
婴	yīng
沪	hù
氟	fú
绞	jiǎo
挪	nuó
辣	là
仑	lún
庞	páng
诞	dàn
吁	xū_yù_yú
醋	cù
浦	pǔ
菱	líng
耻	chǐ
俘	fú
谣	yáo
篮	lán
廊	láng
惧	jù
蹲	dūn_cún
盼	pàn
赐	cì
挠	náo
陡	dǒu
棵	kē
翅	chì
峻	jùn
俺	ǎn
厨	chú
翔	xiáng
赢	yíng
愚	yú
拓	tuò_tà_zhí
惑	huò
绸	chóu
杏	xìng
咽	yān_yàn_yè
扮	bàn
蒲	pú
绣	xiù
唉	āi_ài
梳	shū
逸	yì
菊	jú
艾	ài_yì
铲	chǎn
膏	gāo_gào
羞	xiū
葛	gé_gě
骄	jiāo
悼	dào
庸	yōng
蒂	dì
宰	zǎi
渴	kě
肆	sì
魔	mó
榨	zhà
蔗	zhè
秆	gǎn
鹏	péng
灶	zào
肤	fū
怜	lián_líng_lǐng
捻	niǎn_niē
俊	jùn
恼	nǎo
滞	zhì
凹	āo_wā
倚	yǐ
祭	jì_zhài
葬	zàng
拢	lǒng
慈	cí
砸	zá
衍	yǎn
嗓	sǎng
凿	záo
唇	chún_zhēn_zhèn
尿	niào_suī
衫	shān
衔	xián
拐	guǎi
脾	pí
锯	jù
傲	ào
萝	luó
猎	liè_jí_què_xī
夷	yí
贞	zhēn
昙	tán_yù
罕	hǎn
厦	shà_xià
愉	yú_tōu
扔	rēng
邪	xié_yá_yé_yú_xú
坊	fāng_fáng
媒	méi
脊	jǐ
蕴	yùn
呖	lì
芒	máng
烫	tàng
恳	kěn
哇	wā_wa
蛇	shé_yí
诏	zhào
昼	zhòu
铭	míng
镁	měi
帕	pà
冈	gāng_wǎng
胖	pàng_pán_pàn
刨	páo_bào
枚	méi
寓	yù
荫	yīn_yìn
辰	chén
贩	fàn
娓	wěi
猫	māo_máo_miáo
笛	dí
盯	dīng
锈	xiù
贾	gǔ_jiǎ
藤	téng
楔	xiē
衷	zhōng
僵	jiāng
斩	zhǎn
扁	biǎn_piān
谕	yù
淑	shū_shú
厢	xiāng
甩	shuǎi
蚕	cán_tiǎn
禽	qín
匆	cōng
捏	niē
瞎	xiā
忌	jì
孕	yùn
荆	jīng
俭	jiǎn
肝	gān
钦	qīn
缅	miǎn
熄	xī
屑	xiè
裸	luǒ
葱	cōng_chuāng
垒	lěi
铀	yóu
淘	táo
摔	shuāi
暑	shǔ
哼	hēng_hng
勋	xūn
悔	huǐ
钞	chāo
垮	kuǎ
婶	shěn
嘱	zhǔ
鹿	lù
胺	àn
捆	kǔn
谅	liàng
艘	sōu
梭	suō
梨	lí
奠	diàn
玛	mǎ
栅	zhà_shān_shi_cè
帘	lián
哑	yǎ_yā
皂	zào
哦	ó_ò_é
烷	wán
喇	lǎ_lā
恭	gōng
扛	káng_gāng
苛	kē_hē
秤	chèng
屡	lǚ
耿	gěng
喘	chuǎn
愧	kuì
爪	zhǎo_zhuǎ
叭	bā
逊	xùn
诈	zhà
俯	fǔ
椭	tuǒ
搏	bó
谨	jǐn
拄	zhǔ
烃	tīng
吻	wěn
绑	bǎng
骚	sāo_sǎo
刹	chà_shā
熬	āo_áo
胚	pēi
雀	què_qiāo_qiǎo
屯	tún_zhūn
拴	shuān
拱	gǒng
舶	bó
裹	guǒ
矢	shǐ
寡	guǎ
栋	dòng
粤	yuè
碘	diǎn
栖	qī_xī
酱	jiàng
肪	fáng
薯	shǔ
囊	náng_nāng
弗	fú
惕	tì
艇	tǐng
肿	zhǒng
汛	xùn
粱	liáng
敞	chǎng
冀	jì
氓	méng_máng
蜜	mì
辐	fú
钩	gōu
哗	huá_huā
廓	kuò
贱	jiàn
聘	pìn
舅	jiù
滔	tāo
忉	dāo
炕	kàng
瞪	dèng
狮	shī
咳	ké_hāi
啡	fēi
葫	hú
喻	yù
樱	yīng
龟	guī_jūn_qiū
锰	měng
擅	shàn
灿	càn
谎	huǎng
坎	kǎn
卤	lǔ_xī
褐	hè
藩	fān
毯	tǎn
戊	wù
闸	zhá
渊	yuān
譬	pì
胳	gē_gé
斋	zhāi
梢	shāo_sào
崭	zhǎn_chán
扒	bā_pá
凄	qī
坪	píng
泳	yǒng
忿	fèn
宦	huàn
枣	zǎo
狡	jiǎo
鹰	yīng
笨	bèn
痒	yǎng
傍	bàng
烹	pēng
怖	bù
匈	xiōng
塌	tā
咖	kā_gā_jiā
莽	mǎng
尉	wèi_yù
钝	dùn
粪	fèn
迄	qì
坟	fén
胃	wèi
郝	hǎo
寥	liáo
嘿	hēi_mò
兔	tù
虹	hóng_jiàng
涅	niè
拼	pīn
笋	sǔn
镶	xiāng
嵌	qiàn_kàn_kǎn_qiān
秉	bǐng
掺	chān_xiān_càn_shǎn
敷	fū
煽	shān
氰	qíng
倦	juàn
聊	liáo
踩	cǎi
寇	kòu
哟	yō_yo
糕	gāo
筋	jīn
刃	rèn
辫	biàn
跪	guì
穗	suì
扼	è
庐	lú
梗	gěng
屿	yǔ
虏	lǔ
沥	lì
憾	hàn
歼	jiān
烛	zhú_chóng
诵	sòng
煌	huáng
釉	yòu
枕	zhěn
姨	yí
劈	pī_pǐ
卵	luǎn
彦	yàn_pán
砖	zhuān
醛	quán
枉	wǎng
肢	zhī
蹄	tí
兜	dōu
茨	cí
贬	biǎn
钊	zhāo
佣	yōng_yòng
汝	rǔ
淆	xiáo_yáo
昔	xī
讽	fěng
侮	wǔ
稠	chóu
翼	yì
椒	jiāo
钳	qián
咋	zǎ_zé_zhā_zhà
傻	shǎ
痼	gù
炊	chuī
庵	ān
帆	fān_fán
魄	pò_tuò_bó
咯	lo_kǎ_luò_gē
耽	dān
贿	huì
鳞	lín
丸	wán
姬	jī
匙	chí_shi
盥	guàn
岐	qí
仓	cāng
翰	hàn
哄	hōng_hǒng_hòng
旷	kuàng
爵	jué
猴	hóu
趟	tàng_tāng
瑰	guī
诡	guǐ
踢	tī
淹	yān
沛	pèi
晕	yùn_yūn
揽	lǎn
桩	zhuāng
涵	hán
僧	sēng
鹤	hè
裙	qún
畔	pàn
耍	shuǎ
灼	zhuó
滇	diān
沦	lún
汰	tài
颊	jiá
膝	xī
懒	lǎn
兑	duì_ruì_yuè_duó
耙	bà_pá
蹈	dǎo
吼	hǒu
蕉	jiāo_qiáo
嗣	sì
焉	yān
焕	huàn
汹	xiōng
渥	wò
辜	gū
癌	ái_yán
萎	wěi_wēi
钧	jūn
陌	mò
煞	shā_shà
焚	fén
佑	yòu
嘲	cháo_zhāo
聂	niè
歉	qiàn
骆	luò
屁	pì
桔	jié_jú
惶	huáng
衙	yá
腻	nì
宠	chǒng
盏	zhǎn
袍	páo
鞲	gōu
捍	hàn
锄	chú
惹	rě
膛	táng
馈	kuì
蛭	zhì
膊	bó
窜	cuàn
娇	jiāo
乞	qǐ
嚼	jiáo_jué_jiào
鄙	bǐ
猖	chāng
绥	suí
亟	jí_qì
抒	shū
筐	kuāng
泣	qì
篷	péng
拂	fú_bì
赃	zāng
铵	ǎn
镀	dù
钓	diào
眷	juàn
兹	zī_cí
躯	qū
禹	yǔ
咕	gū
拣	jiǎn
赚	zhuàn
瓣	bàn
躁	zào
耸	sǒng
咒	zhòu
箪	dān
庚	gēng
嘻	xī
缕	lǚ
稚	zhì
糙	cāo
挝	zhuā_wō
扳	bān_pān
孢	bāo
酌	zhuó
隋	suí_duò
哒	dā
勃	bó_bèi
腥	xīng
籽	zǐ
尧	yáo
暮	mù
襄	xiāng
勺	sháo
乍	zhà
溅	jiàn_jiān
溴	xiù
琳	lín
澜	lán
豹	bào
唧	jī
苟	gǒu
拇	mǔ
叮	dīng
咐	fù
陛	bì
瀑	pù_bào
竿	gān
拧	níng_nǐng_nìng
珊	shān
皖	wǎn
韵	yùn
琐	suǒ
隘	ài
靖	jìng
邢	xíng
玫	méi
撇	piē_piě
僻	pì
薪	xīn
噪	zào
毙	bì
茄	qié_jiā
蜀	shǔ
煎	jiān
棕	zōng
雁	yàn
彰	zhāng
逗	dòu
絮	xù
淤	yū
崔	cuī
荔	lì
矫	jiǎo_jiáo
赌	dǔ
宣	xuān
邹	zōu
饷	xiǎng
褂	guà
杉	shān_shā
喧	xuān
赣	gàn
躬	gōng
痴	chī
撮	cuō_zuǒ
懈	xiè
凳	dèng
沼	zhǎo
檐	yán
瞿	qú_jù
卒	zú_cù
撰	zhuàn
睹	dǔ
憎	zēng
璋	zhāng
韶	sháo
募	mù
栓	shuān
逾	yú
魁	kuí
岚	lán
喃	nán
吱	zhī_zī
鲍	bào
袜	wà_mò
簇	cù
琪	qí
魑	chī
蒜	suàn
疙	gē_yì
寅	yín
禾	hé
鞑	dá
佃	diàn_tián
揪	jiū
嗯	ǹg_ńg_ňg_ǹ_ń_ň_en_eng
粥	zhōu_yù
肴	yáo
泻	xiè
巢	cháo
宛	wǎn_yuān
襟	jīn
莉	lì
鞍	ān
裳	cháng_shang
奕	yì
赎	shú
鳙	yōng
郓	yùn
雯	wén
蠢	chǔn
巍	wēi
侄	zhí
酮	tóng
汞	gǒng
挟	xié_jiā
唆	suō
庶	shù
瞅	chǒu
硷	jiǎn
瞒	mán_mén
眯	mī_mí_mǐ
榴	liú
奢	shē
岔	chà
嘘	xū_shī
槐	huái
坠	zhuì
瑟	sè
雹	báo
缉	jī_qī
虐	nüè
慷	kāng
涧	jiàn
丞	chéng
陋	lòu
炽	chì
烁	shuò
嚣	xiāo_áo
薛	xuē
邑	yì
謇	jiǎn
镰	lián
熏	xūn_xùn
钥	yuè_yào
麓	lù
淫	yín
剿	jiǎo_chāo
晤	wù
驯	xùn_xún
斧	fǔ
畸	jī
媚	mèi
剔	tī
铬	gè
羡	xiàn_yí
腺	xiàn
宵	xiāo
蜕	tuì_yuè
姊	zǐ
笙	shēng
墩	dūn
驴	lǘ
喳	zhā_chā
蔚	wèi_yù
闺	guī
窥	kuī
烙	lào_luò
涯	yá
噢	ō
蚊	wén
黔	qián
橙	chéng
歹	dǎi
渍	zì
魅	mèi
碌	lù_liù
睦	mù
囚	qiú
溯	sù
窒	zhì
栗	lì
芜	wú
厄	è
搁	gē_gé
髓	suǐ
糠	kāng
伎	jì_qí
锣	luó
桉	ān
楠	nán
骡	luó
躅	zhú
镑	bàng
寞	mò
腕	wàn
狄	dí
祺	qí
嗅	xiù
彝	yí
娥	é
俞	yú_yù_shù
汀	tīng
惰	duò
殳	shū
荧	yíng
犬	quǎn
赦	shè
嘎	gā_gá_gǎ
骏	jùn
酥	sū
棺	guān
涩	sè
孰	shú
蝇	yíng
堕	duò_huī
轿	jiào
泌	mì_bì
孜	zī
昧	mèi
迂	yū
妖	yāo
牡	mǔ
缀	zhuì
庇	bì
雍	yōng
笺	jiān
妆	zhuāng
栩	xǔ
聋	lóng
涕	tì
蝶	dié
稽	jī_qǐ
斌	bīn
耦	ǒu
怯	qiè
咏	yǒng
磺	huáng
禀	bǐng
枫	fēng
伺	sì_cì
釜	fǔ
楞	léng_lèng
蕊	ruǐ
眨	zhǎ
戋	jiān
咀	jǔ_zuǐ
敛	liǎn
帖	tiè_tiě_tiē
呐	nà_nè_na_nuò
娶	qǔ
酰	xiān
饵	ěr
嗜	shì
谜	mí_mèi
秃	tū
挚	zhì
锢	gù
逞	chěng
攫	jué
楷	kǎi_jiē
旭	xù
楣	méi
藻	zǎo
蘖	niè_bò
娱	yú
酝	yùn
虱	shī
茵	yīn
豁	huō_huò_huá
跋	bá
坤	kūn
绢	juàn
乒	pīng
搓	cuō
讶	yà
绷	bēng_běng_bèng
钮	niǔ
陀	tuó
戥	děng
窖	jiào
渭	wèi
瞻	zhān
竺	zhú_dǔ
柿	shì
熹	xī
谒	yè
梆	bāng
脯	fǔ_pǔ_pú
崎	qí
饺	jiǎo
唾	tuò
赳	jiū_jiù
轩	xuān
埠	bù
呜	wū
丫	yā
纫	rèn
滤	lǜ
哉	zāi
棘	jí
晌	shǎng
臧	zāng_zàng_cáng
缎	duàn
雌	cí
诃	hē
虾	xiā_hā
诧	chà
靶	bǎ
峭	qiào
棠	táng
戳	chuō
阜	fù
衅	xìn
硕	shuò_shí
杖	zhàng
嵩	sōng
莎	suō_shā
奎	kuí
祯	zhēn
霖	lín
鸵	tuó
霄	xiāo
啸	xiào
氡	dōng
氦	hài
箩	luó
琢	zhuó_zuó
唔	wù_wú_ńg_ń
腈	jīng
袄	ǎo
吭	háng_kēng
寝	qǐn
紊	wěn
簿	bù_bó
凰	huáng
阮	ruǎn
愣	lèng
猾	huá
鞠	jū_jú
删	shān
铧	huá
屉	tì
磕	kē
褪	tuì_tùn
咧	liě_liē_lié_lie
鱿	yóu
碾	niǎn
渎	dú_dòu
殆	dài
淌	tǎng_chǎng
漓	lí
恫	dòng
搪	táng
啼	tí
戎	róng
驼	tuó
瑾	jǐn
沧	cāng
傀	kuǐ_guī
磅	bàng_páng
诀	jué
琅	láng
翘	qiáo_qiào
湛	zhàn
翩	piān
狐	hú
侠	xiá
垢	gòu
抨	pēng
婿	xù
哺	bǔ
逶	wēi
讳	huì
筷	kuài
闵	mǐn
谤	bàng
侣	lǚ
券	quàn_xuàn
幢	chuáng_zhuàng
殃	yāng
苓	líng
澈	chè
豌	wān
噶	gá
琦	qí
洼	wā
洽	qià
沁	qìn
乓	pāng
朔	shuò
绚	xuàn
婷	tíng
羟	qiǎng
彤	tóng
泮	pàn
硼	péng
吆	yāo
怔	zhēng_zhèng
儡	lěi
茸	róng
茧	jiǎn_chóng
椰	yē_yé
莸	yóu
乖	guāi
窍	qiào
桦	huà
笃	dǔ
呕	ǒu_ōu_òu
眺	tiào
榆	yú
裘	qiú
沂	yí
诛	zhū
谆	zhūn
瘫	tān
觅	mì
舜	shùn
踽	jǔ
皿	mǐn
奄	yǎn_yān
岖	qū
鳌	áo
妓	jì
蒴	shuò
薇	wēi
炯	jiǒng
尹	yǐn
樟	zhāng
渺	miǎo
袱	fú
竣	jùn
邱	qiū
胥	xū
粟	sù
镍	niè
嗽	sòu
疫	yì
禺	yú_yù_ǒu
憩	qì
鹅	é
啃	kěn
眶	kuàng
涝	lào
钡	bèi
掂	diān
澡	zǎo
阎	yán
葵	kuí
戬	jiǎn
骇	hài
潺	chán
泊	bó_pō
鲋	fù
绮	qǐ
侈	chǐ
亨	hēng_pēng
徘	pái
叩	kòu
迤	yǐ_yí
槛	jiàn_kǎn
祈	qí
蘸	zhàn
猩	xīng
飚	biāo
湃	pài
湍	tuān
廿	niàn
脖	bó
婉	wǎn
靴	xuē
叽	jī_jiào
颓	tuí
臻	zhēn
嗨	hāi_hēi
戌	xū
芋	yù
恣	zì
彬	bīn
椿	chūn
绰	chuò_chāo
晾	liàng
谥	shì
羲	xī
逛	guàng
妮	nī
嘶	sī
硒	xī
驿	yì
垛	duǒ_duò
惭	cán
捂	wǔ
詹	zhān
褥	rù
壑	hè
蟹	xiè
馒	mán
蕾	lěi
蔓	màn_wàn_mán
荪	sūn
腮	sāi
趾	zhǐ
滦	luán
嗬	hē
痹	bì
碉	diāo
芹	qín
恃	shì
秽	huì
樊	fán
殴	ōu
訾	zī_zǐ
札	zhá
诅	zǔ
孚	fú
蝴	hú
匿	nì
杲	gǎo
枷	jiā
厥	jué
噔	dēng
恍	huǎng
廖	liào
啤	pí
羿	yì
汾	fén
撼	hàn
帷	wéi
佼	jiǎo
厕	cè
巫	wū
碟	dié
胧	lóng
曙	shǔ
辘	lù
斟	zhēn
揣	chuǎi_chuài_chuāi_tuán_zhuī
踱	duó
诽	fěi
烽	fēng
娟	juān
拈	niān_nián
冉	rǎn
祀	sì
祠	cí
狈	bèi
蹦	bèng
濒	bīn
砧	zhēn
峙	zhì_shì
谏	jiàn
恕	shù
苑	yuàn
笈	jí
凋	diāo
圜	huán_yuán
筝	zhēng
夭	yāo
辄	zhé
饯	jiàn
揩	kāi
篱	lí
嫉	jí
壕	háo
瑚	hú
攘	rǎng
芡	qiàn
尴	gān
熠	yì
淳	chún_zhūn
痢	lì
咚	dōng
泗	sì
榕	róng
撬	qiào
檀	tán
苇	wěi
冥	míng
嬉	xī
靡	mí_mǐ
擒	qín
苞	bāo
蚂	mǎ_mā_mà
甄	zhēn
窟	kū
蛛	zhū
娣	dì
瘩	dá_da
驮	tuó_duò
琉	liú
暇	xiá
橱	chú
菩	pú
嘈	cáo
禅	chán_shàn
恝	jiá
鲤	lǐ
呻	shēn
龚	gōng
兢	jīng
幌	huǎng
牟	móu_mù
匣	xiá
酏	yǐ_yí
卉	huì
萱	xuān
凛	lǐn
忱	chén
拷	kǎo
拯	zhěng
哔	bì
悍	hàn
毋	wú
砉	xū_huā
锉	cuò
幂	mì
虞	yú
崽	zǎi
砾	lì
垣	yuán
娴	xián
瑛	yīng
捶	chuí
肾	shèn
殡	bìn
羁	jī
蛤	gé_há
獗	jué
汲	jí
垠	yín
迸	bèng
绊	bàn
钵	bō
飙	biāo
搂	lǒu_lōu
冕	miǎn
蠕	rú
肘	zhǒu
拙	zhuō
捎	shāo_shào
饲	sì
钨	wū
绽	zhàn
觐	jìn
赂	lù
蚁	yǐ
肱	gōng
嗡	wēng
栈	zhàn
忡	chōng
裔	yì
迥	jiǒng
朦	méng
浚	jùn_xùn
肇	zhào
萋	qī
尬	gà
髯	rán
弘	hóng
戮	lù
汕	shàn
倔	jué_juè
拭	shì
鹃	juān
婪	lán
墟	xū
嗦	suō
嘀	dí
骥	jì
吩	fēn
簸	bò_bǒ
藉	jiè_jí
潼	tóng
膳	shàn
谚	yàn
肋	lèi_lē_lè
阙	quē_què
汶	wèn_mén
踞	jù
圾	jī_sè
讥	jī
菠	bō
疮	chuāng
箕	jī
屎	shǐ
璧	bì
霎	shà
晦	huì
颐	yí
慑	shè
肽	tài
翊	yì
堰	yàn
蛙	wā
蚜	yá
娜	nà_nuó
炔	quē_guì
垃	lā_lè
钼	mù
刁	diāo
鸽	gē
梧	wú
殉	xùn
憋	biē
婢	bì
妒	dù
窘	jiǒng
泾	jīng
漪	yī
筵	yán
搀	chān
矾	fán
柑	gān
撩	liāo_liáo
劾	hé
嫣	yān
咪	mī
焘	dào_tāo
雉	zhì
遏	è
蔷	qiáng
胭	yān
炬	jù
粕	pò
弋	yì
璇	xuán
颅	lú
觜	zī_zuǐ
磋	cuō
馅	xiàn
踌	chóu
澎	péng
蛹	yǒng
伫	zhù
奚	xī
岑	cén
缭	liáo
谟	mó
髡	kūn
伯	bó_bǎi_bà
瞄	miáo
钛	tài
陇	lǒng
轲	kē
羧	suō
疤	bā
苔	tái_tāi
嘟	dū
铰	jiǎo
卣	yǒu
惺	xīng
讷	nè
辗	zhǎn_niǎn
茉	mò
徭	yáo
妾	qiè
隧	suì
弈	yì
惋	wǎn
荃	quán
褶	zhě_xí
蜿	wān
痪	huàn_tuǎn
哮	xiào_xiāo
呃	è
怡	yí
遁	dùn
悸	jì
俟	sì_qí
锂	lǐ
蚵	kē
祷	dǎo
芭	bā
犀	xī
恤	xù
沣	fēng
窦	dòu
篝	gōu
埂	gěng
巅	diān
蔼	ǎi
轵	zhǐ
钴	gǔ
帚	zhǒu
蕃	fān_fán_bō
斛	hú
耘	yún
嬷	mó_mā
甥	shēng
荸	bí
酋	qiú
叨	tāo_dāo
猿	yuán
馨	xīn
铐	kào
瑶	yáo
祆	xiān
锑	tī
蜗	wō
刭	jǐng
葆	bǎo
弼	bì
缤	bīn
瘠	jí
曳	yè
屹	yì
戍	shù
茁	zhuó
毓	yù
楦	xuàn
锲	qiè
谍	dié
燎	liáo_liǎo
捅	tǒng
苷	gān
茴	huí
蛟	jiāo
臆	yì
匕	bǐ
徊	huái
毗	pí
淇	qí
檄	xí
懋	mào
荀	xún
噜	lū
梓	zǐ
贽	zhì
蠡	lǐ_lí
漱	shù
迦	jiā
懊	ào
愕	è
帛	bó
咙	lóng
渝	yú
卅	sà
啪	pā_piā
炙	zhì
睾	gāo
诋	dǐ
桢	zhēn
贻	yí
褙	bèi
鲂	fáng
碲	dì
菇	gū
俏	qiào_xiào
闰	rùn
萃	cuì
嗳	ǎi_ài_āi
嫡	dí
劓	yì
俾	bǐ
菡	hàn
惴	zhuì
遽	jù
锚	máo
伽	qié_jiā_gā
坳	ào
渲	xuàn
铛	dāng_chēng
囤	dùn_tún
涸	hé
潇	xiāo
晖	huī
吠	fèi
莹	yíng
灏	hào
捡	jiǎn
磊	lěi
糜	mí_méi
掇	duō
擎	qíng
戟	jǐ
黯	àn
哆	duō
醚	mí
箍	gū
嗒	tà_dā
悒	yì
锹	qiāo
袒	tǎn
踊	yǒng
啧	zé
砝	fǎ
呛	qiāng_qiàng
躇	chú
吮	shǔn
眩	xuàn
檬	méng
铣	xiǎn_xǐ
茗	míng
腑	fǔ
